NCDEX|1.0.1|
AGRIDEX|0|COMDTY|AGRIDEX|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1274486400|0|0|0|1|1|25|999999999999|50|0|1274486400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||AGRIDEX|0|0|0|0||E|Y|Y|N||N|||Rs/Unit|LOT|500|1|1|LOT|1000|N
BAJRA|0|COMDTY|BAJRA|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1080777600|0|0|0|10|10|100|999999999999|500|0|1080777600|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||BAJRA|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
BARLEYJPR|0|COMDTY|BARLEYJPR|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||850262400|0|0|0|10|10|50|999999999999|500|0|850262400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||BARLEYJPR|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
CASTOR|0|COMDTY|CASTOR|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1167955200|0|0|0|5|5|200|999999999999|500|0|1167955200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||CASTOR|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
CHANA|0|COMDTY|CHANA|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1184371200|0|0|0|10|10|100|999999999999|500|0|1184371200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||CHANA|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
COCUDAKL|0|COMDTY|COCUDAKL|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||932774400|0|0|0|10|10|100|999999999999|500|0|932774400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||COCUDAKL|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
COTTON|0|COMDTY|COTTON|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1049241600|0|0|0|1|1|1000|999999999999|50|0|1049241600|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||COTTON|0|0|0|0||E|Y|Y|N||N|||RS/BALES|Lot|100|1|17000|Kgs|1000|N
CPO|0|COMDTY|CPO|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1069891200|0|0|0|10|10|10|999999999999|500|0|1069891200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||CPO|0|0|0|0||E|Y|Y|N||N|||Rs/10Kgs|MT|100|1|10|MT|1000|N
DHANIYA|0|COMDTY|DHANIYA|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||902880000|0|0|0|5|5|200|999999999999|100|0|902880000|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||DHANIYA|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
GUARGUM5|0|COMDTY|GUARGUM5|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1146614400|0|0|0|5|5|100|999999999999|250|0|1146614400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||GUARGUM5|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
GUARSEED10|0|COMDTY|GUARSEED10|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1062806400|0|0|0|5|5|100|999999999999|500|0|1062806400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||GUARSEED10|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
GUR|0|COMDTY|GUR|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1292112000|0|0|0|10|10|50|999999999999|500|0|1292112000|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||GUR|0|0|0|0||E|Y|Y|N||N|||Rs/40Kg|MT|25|1|10|MT|1000|N
JEERAUNJHA|0|COMDTY|JEERAUNJHA|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||791856000|0|0|0|3|3|500|999999999999|150|0|791856000|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||JEERAUNJHA|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|3|MT|1000|N
KAPAS|0|COMDTY|KAPAS|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1213315200|0|0|0|1|1|50|999999999999|50|0|1213315200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||KAPAS|0|0|0|0||E|Y|Y|N||N|||Rs/20Kgs|Lot|200|1|4|MT|1000|N
MAIZE|0|COMDTY|MAIZE|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1259366400|0|0|0|10|10|100|999999999999|500|0|1259366400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||MAIZE|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
MOONG|0|COMDTY|MOONG|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1246752000|0|0|0|5|5|100|999999999999|250|0|1246752000|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||MOONG|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
PADYPB1121|0|COMDTY|PADYPB1121|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1247097600|0|0|0|10|10|100|999999999999|500|0|1247097600|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||PADYPB1121|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
RMSEED|0|COMDTY|RMSEED|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||973814400|0|0|0|10|10|100|999999999999|500|0|973814400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||RMSEED|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
SBMEALIDR|0|COMDTY|SBMEALIDR|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||777686400|0|0|0|10|10|1000|999999999999|500|0|777686400|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||SBMEAL|0|0|0|0||E|Y|Y|N||N|||Rs/MT|MT|1|1|10|MT|1000|N
SESAMESEED|0|COMDTY|SESAMESEED|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1282435200|0|0|0|5|5|500|999999999999|250|0|1282435200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||SESAMESEED|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
STEEL|0|COMDTY|STEEL|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1295049600|0|0|0|10|10|1000|999999999999|500|0|1295049600|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||STEEL|0|0|0|0||E|Y|Y|N||N|||Rs/MT|MT|1|1|10|MT|1000|N
SYBEANIDR|0|COMDTY|SYBEANIDR|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||755308800|0|0|0|5|5|100|999999999999|500|0|755308800|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||SYBEANIDR|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
SYOREF|0|COMDTY|SYOREF|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1117584000|0|0|0|5|5|10|999999999999|500|0|1117584000|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||SYOREF|0|0|0|0||E|Y|Y|N||N|||Rs/10Kgs|MT|100|1|5|MT|1000|N
TMCFGRNZM|0|COMDTY|TMCFGRNZM|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||775353600|0|0|0|5|5|200|999999999999|250|0|775353600|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||TMCFGRNZM|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|5|MT|1000|N
WHEATFAQ|0|COMDTY|WHEATFAQ|XX||-1|-1|XX||0||0|0|1|0||2|0||2|0||3|0||1196467200|0|0|0|10|10|100|999999999999|500|0|1196467200|0|0|0|0|0|999999|999999|0|0|0|1311120000|0|0|15|0||WHEATFAQ|0|0|0|0||E|Y|Y|N||N|||Rs/Quintal|MT|10|1|10|MT|1000|N
BAJRA20JUL2021|BAJRA|FUTCOM|BAJRA|XX||1311206400|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1299024000|0|1311206400|1000|10|10|100|999999999999|500|0|1299024000|0|0|0|1310688000|1311206400|139300|150900|0|0|0|1311120000|0|0|15|0||BAJRAJUL2021|0|1|0|0||E|Y|Y|N||N|BAJRA||Rs/Quintal|MT|10|1|10|MT|145100|N
BAJRA20AUG2021|BAJRA|FUTCOM|BAJRA|XX||1313884800|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1301702400|0|1313884800|1000|10|10|100|999999999999|500|0|1301702400|0|0|0|1313280000|1313884800|139700|151300|0|0|0|1311120000|0|0|15|0||BAJRAAUG2021|0|1|0|0||E|Y|Y|N||N|BAJRA||Rs/Quintal|MT|10|1|10|MT|145500|N
BAJRA20SEP2021|BAJRA|FUTCOM|BAJRA|XX||1316563200|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1304467200|0|1316563200|1000|10|10|100|999999999999|500|0|1304467200|0|0|0|1316044800|1316563200|140200|151800|0|0|0|1311120000|0|0|15|0||BAJRASEP2021|0|1|0|0||E|Y|Y|N||N|BAJRA||Rs/Quintal|MT|10|1|10|MT|146000|N
BAJRA20OCT2021|BAJRA|FUTCOM|BAJRA|XX||1319155200|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1306972800|0|1319155200|1000|10|10|100|999999999999|500|0|1306972800|0|0|0|1318550400|1319155200|140600|152200|0|0|0|1311120000|0|0|15|0||BAJRAOCT2021|0|1|0|0||E|Y|Y|N||N|BAJRA||Rs/Quintal|MT|10|1|10|MT|146400|N
BAJRA18NOV2021|BAJRA|FUTCOM|BAJRA|XX||1321660800|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1309564800|0|1321660800|1000|10|10|100|999999999999|500|0|1309564800|0|0|0|1321142400|1321660800|141000|152600|0|0|0|1311120000|0|0|15|0||BAJRANOV2021|0|1|0|0||E|Y|Y|N||N|BAJRA||Rs/Quintal|MT|10|1|10|MT|146800|N
BARLEYJPR20JUL2021|BARLEYJPR|FUTCOM|BARLEYJPR|XX||1311206400|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1293926400|0|1311206400|800|10|10|50|999999999999|500|0|1293926400|0|0|0|1310688000|1311206400|181050|196050|0|0|0|1311120000|0|0|15|0||BARLEYJPRJUL2021|0|1|0|0||E|Y|Y|N||N|BARLEYJPR||Rs/Quintal|MT|10|1|10|MT|188550|N
BARLEYJPR20AUG2021|BARLEYJPR|FUTCOM|BARLEYJPR|XX||1313884800|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1301702400|0|1313884800|800|10|10|50|999999999999|500|0|1301702400|0|0|0|1313280000|1313884800|181600|196700|0|0|0|1311120000|0|0|15|0||BARLEYJPRAUG2021|0|1|0|0||E|Y|Y|N||N|BARLEYJPR||Rs/Quintal|MT|10|1|10|MT|189150|N
BARLEYJPR20SEP2021|BARLEYJPR|FUTCOM|BARLEYJPR|XX||1316563200|-1|XX||0||0|0|1|1||2|0||2|0||0|0||1304467200|0|1316563200|800|10|10|50|999999999999|500|0|1304467200|0|0|0|1316044800|1316563200|182150|197250|0|0|0|1311120000|0|0|15|0||BARLEYJPRSEP2021|0|1|0|0||E|Y|Y|N||N|BARLEYJPR||Rs/Quintal|MT|10|1|10|MT|189700|N
