Instrument Type,Symbol,ExpiryDate,Underlying Commodity,Strike Price,Option Type,Ex-Basis Delivery Centre,Price Unit,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate
FUTCOM,COTTON,7/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,25910,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,10/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26150,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,11/18/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26230,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,12/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26310,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,1/20/2022,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26390,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,2/18/2022,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26470,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,4/20/2022,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26630,0,LOT,0,0,0,NOTRADE
FUTCOM,COCUDAKL,7/20/2021,COTTONSEEDOILCAKEAKOLA,0,XX,AKOLA,RS/QUINTAL,2700,2700,2699,2700,80,MT,5,21.6,1490,7/19/2021
FUTCOM,COCUDAKL,8/20/2021,COTTONSEEDOILCAKEAKOLA,0,XX,AKOLA,RS/QUINTAL,2915,2915,2800,2819,35140,MT,2725,9969.27,57810,7/19/2021
FUTCOM,COCUDAKL,9/20/2021,COTTONSEEDOILCAKEAKOLA,0,XX,AKOLA,RS/QUINTAL,2930,2930,2860,2881,8060,MT,691,2333.65,13710,7/19/2021
FUTCOM,COCUDAKL,12/20/2021,COTTONSEEDOILCAKEAKOLA,0,XX,AKOLA,RS/QUINTAL,2425,2425,2400,2406,170,MT,17,40.99,1350,7/19/2021
FUTCOM,COCUDAKL,1/20/2022,COTTONSEEDOILCAKEAKOLA,0,XX,AKOLA,RS/QUINTAL,0,0,0,2406,0,MT,0,0,60,7/16/2021
FUTCOM,CPO,7/30/2021,CRUDE_PALM_OIL,0,XX,KANDLA,RS/10KGS,0,0,0,1121,0,MT,0,0,0,NOTRADE
FUTCOM,CPO,8/31/2021,CRUDE_PALM_OIL,0,XX,KANDLA,RS/10KGS,0,0,0,1124.6,0,MT,0,0,0,NOTRADE
FUTCOM,CPO,9/30/2021,CRUDE_PALM_OIL,0,XX,KANDLA,RS/10KGS,0,0,0,1128,0,MT,0,0,0,NOTRADE
FUTCOM,CPO,10/29/2021,CRUDE_PALM_OIL,0,XX,KANDLA,RS/10KGS,0,0,0,1131.3,0,MT,0,0,0,NOTRADE
FUTCOM,CPO,11/30/2021,CRUDE_PALM_OIL,0,XX,KANDLA,RS/10KGS,0,0,0,1134.9,0,MT,0,0,0,NOTRADE
FUTCOM,GUARGUM5,7/20/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,6837,6837,6573,6707,25,MT,5,16.7,365,7/19/2021
FUTCOM,GUARGUM5,8/20/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,6684,6790,6651,6754,12640,MT,1806,8505.29,53285,7/19/2021
FUTCOM,GUARGUM5,9/20/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,6762,6870,6753,6841,2710,MT,384,1847.16,5845,7/19/2021
